temperature,ph,dissolvedOxygen,ammonia,status_label,growth_index
22.96,5.5,10.3,0.033,Low,94.5
22.47,5.5,7.9,0.033,Low,94.5
22.32,5.7,6.1,0.007,Low,94.5
22.27,5.6,9.6,0.08,Medium,94.5
22.2,5.0,9.6,0.039,Low,94.5
22.03,5.5,9.3,0.078,Medium,94.5
21.92,5.4,8.1,0.026,Low,94.5
21.84,5.3,6.5,0.011,Low,94.5
21.72,5.6,10.5,0.052,Medium,94.5
21.65,5.1,10.1,0.04,Low,94.5
21.53,5.9,8.3,0.035,Low,94.5
21.44,5.9,9.9,0.07,Medium,94.5
21.41,6.0,10.8,0.022,Low,94.5
21.14,5.6,8.3,0.098,Medium,94.5
21.1,5.3,8.5,0.043,Low,94.5
21.07,5.6,8.5,0.007,Low,94.5
21.02,5.4,9.1,0.074,Medium,94.5
21.12,5.6,8.1,0.06,Medium,94.5
21.4,5.8,10.2,0.09,Medium,94.5
21.48,6.0,11.3,0.091,Medium,94.5
21.61,5.5,7.1,0.044,Low,94.5
21.8,5.9,9.1,0.034,Low,94.5
22.08,6.0,12.0,0.097,Medium,94.5
23.9,5.7,7.5,0.099,Medium,94.5
23.99,5.6,7.4,0.088,Medium,94.5
24.22,5.7,7.3,0.059,Medium,115.50000000000001
24.34,5.9,7.8,0.009,Low,115.50000000000001
24.56,5.2,10.6,0.093,Medium,115.50000000000001
24.78,5.1,7.2,0.085,Medium,115.50000000000001
24.83,5.9,8.8,0.092,Medium,115.50000000000001
24.92,6.0,8.4,0.075,Medium,115.50000000000001
24.97,5.0,9.7,0.085,Medium,115.50000000000001
24.98,5.0,8.4,0.09,Medium,115.50000000000001
24.99,5.0,11.8,0.094,Medium,115.50000000000001
25.09,5.1,10.2,0.035,Low,115.50000000000001
25.16,5.0,7.2,0.073,Medium,115.50000000000001
25.18,5.8,9.0,0.053,Medium,115.50000000000001
25.21,5.6,10.0,0.012,Low,115.50000000000001
25.49,5.4,9.6,0.081,Medium,115.50000000000001
25.56,5.1,11.0,0.035,Low,115.50000000000001
25.66,5.0,6.3,0.043,Low,115.50000000000001
25.9,5.3,9.6,0.025,Low,115.50000000000001
25.92,5.4,9.8,0.039,Low,115.50000000000001
25.66,5.7,8.7,0.069,Medium,115.50000000000001
25.56,5.7,11.1,0.041,Low,115.50000000000001
25.51,5.2,9.6,0.022,Low,115.50000000000001
25.42,5.3,7.0,0.057,Medium,115.50000000000001
25.38,5.4,8.8,0.041,Low,115.50000000000001
25.37,6.0,10.5,0.022,Low,115.50000000000001
25.32,6.0,8.6,0.066,Medium,115.50000000000001
25.11,5.7,6.3,0.055,Medium,115.50000000000001
25.08,5.4,10.8,0.052,Medium,115.50000000000001
25.06,5.5,8.7,0.017,Low,115.50000000000001
24.99,5.2,8.2,0.039,Low,115.50000000000001
24.86,5.9,8.2,0.05,Low,115.50000000000001
24.85,5.9,7.8,0.066,Medium,115.50000000000001
24.65,6.0,7.8,0.032,Low,115.50000000000001
24.48,6.0,9.4,0.098,Medium,115.50000000000001
24.47,5.0,8.8,0.069,Medium,115.50000000000001
24.29,5.8,11.9,0.071,Medium,115.50000000000001
24.18,5.0,10.1,0.099,Medium,115.50000000000001
24.14,5.4,9.2,0.053,Medium,115.50000000000001
24.1,6.0,8.0,0.001,Low,115.50000000000001
23.91,5.5,6.1,0.07,Medium,94.5
23.72,6.0,6.6,0.09,Medium,94.5
23.66,5.6,10.1,0.038,Low,94.5
23.59,5.4,6.4,0.071,Medium,94.5
23.41,5.0,8.0,0.034,Low,94.5
23.36,5.9,10.9,0.077,Medium,94.5
23.25,5.8,10.4,0.004,Low,94.5
22.96,5.1,9.9,0.014,Low,94.5
22.86,5.5,10.5,0.054,Medium,94.5
22.84,5.3,9.5,0.026,Low,94.5
22.74,5.3,10.0,0.003,Low,94.5
22.41,5.9,11.7,0.04,Low,94.5
22.38,5.0,7.0,0.001,Low,94.5
22.16,5.2,10.8,0.07,Medium,94.5
22.02,5.5,7.3,0.068,Medium,94.5
21.94,5.5,10.0,0.099,Medium,94.5
21.91,5.7,9.5,0.016,Low,94.5
21.8,6.0,10.4,0.023,Low,94.5
21.65,6.0,9.0,0.014,Low,94.5
21.62,5.2,6.8,0.071,Medium,94.5
21.53,5.4,8.7,0.073,Medium,94.5
21.5,5.5,6.5,0.087,Medium,94.5
21.45,5.5,10.5,0.01,Low,94.5
21.3,5.2,10.4,0.039,Low,94.5
21.25,5.1,6.7,0.035,Low,94.5
21.11,5.6,11.9,0.071,Medium,94.5
21.02,5.3,10.7,0.082,Medium,94.5
21.08,5.9,11.4,0.031,Low,94.5
21.16,5.0,10.4,0.015,Low,94.5
21.38,5.5,11.5,0.034,Low,94.5
21.39,5.6,10.7,0.04,Low,94.5
21.56,5.8,9.6,0.013,Low,94.5
21.71,5.1,10.8,0.087,Medium,94.5
21.93,5.8,6.2,0.085,Medium,94.5
21.99,5.1,11.7,0.048,Low,94.5
22.07,5.4,11.2,0.039,Low,94.5
22.21,5.5,9.2,0.005,Low,94.5
22.22,6.0,8.9,0.06,Medium,94.5
22.4,5.9,6.8,0.091,Medium,94.5
22.9,5.7,9.4,0.045,Low,94.5
23.36,5.9,10.6,0.085,Medium,94.5
23.38,5.2,6.8,0.072,Medium,94.5
23.43,5.5,10.1,0.07,Medium,94.5
23.59,5.5,12.0,0.028,Low,94.5
23.59,5.0,6.5,0.064,Medium,94.5
23.6,5.2,7.4,0.013,Low,94.5
23.82,5.1,7.5,0.083,Medium,94.5
24.36,5.7,10.8,0.057,Medium,115.50000000000001
24.85,5.4,11.7,0.018,Low,115.50000000000001
24.97,5.8,8.8,0.032,Low,115.50000000000001
25.25,5.1,8.3,0.092,Medium,115.50000000000001
25.49,6.0,8.6,0.067,Medium,115.50000000000001
26.04,6.0,6.7,0.063,Medium,115.50000000000001
25.96,5.9,7.1,0.061,Medium,115.50000000000001
25.91,5.2,11.8,0.072,Medium,115.50000000000001
25.81,5.3,10.0,0.082,Medium,115.50000000000001
25.71,5.2,6.8,0.046,Low,115.50000000000001
25.7,5.8,11.7,0.075,Medium,115.50000000000001
25.6,5.2,9.0,0.046,Low,115.50000000000001
25.57,5.7,6.1,0.068,Medium,115.50000000000001
25.34,6.0,10.6,0.011,Low,115.50000000000001
25.01,5.2,8.5,0.017,Low,115.50000000000001
24.99,5.0,8.1,0.003,Low,115.50000000000001
24.93,5.8,6.1,0.098,Medium,115.50000000000001
24.86,5.9,11.9,0.018,Low,115.50000000000001
24.85,5.0,11.3,0.077,Medium,115.50000000000001
24.74,5.5,9.4,0.028,Low,115.50000000000001
24.67,5.6,8.0,0.051,Medium,115.50000000000001
24.47,6.0,8.3,0.057,Medium,115.50000000000001
24.45,5.3,8.6,0.041,Low,115.50000000000001
24.34,5.9,9.0,0.076,Medium,115.50000000000001
24.32,5.9,8.5,0.052,Medium,115.50000000000001
23.89,5.5,8.3,0.01,Low,94.5
23.76,5.0,9.1,0.042,Low,94.5
23.38,6.0,9.2,0.009,Low,94.5
23.29,6.0,7.5,0.015,Low,94.5
23.11,5.2,10.6,0.079,Medium,94.5
23.03,5.5,11.1,0.049,Low,94.5
22.97,5.7,10.8,0.091,Medium,94.5
22.81,5.2,11.4,0.019,Low,94.5
22.8,5.5,11.5,0.041,Low,94.5
22.75,5.6,10.8,0.072,Medium,94.5
22.55,5.6,11.4,0.017,Low,94.5
22.47,5.4,6.4,0.033,Low,94.5
22.46,5.0,9.7,0.044,Low,94.5
22.37,5.0,11.3,0.01,Low,94.5
22.34,6.0,6.9,0.098,Medium,94.5
22.32,5.2,10.3,0.082,Medium,94.5
22.26,6.0,6.6,0.035,Low,94.5
22.01,5.4,9.4,0.016,Low,94.5
21.97,5.8,8.6,0.053,Medium,94.5
21.82,5.2,10.0,0.005,Low,94.5
21.64,5.5,10.6,0.005,Low,94.5
21.57,5.9,9.9,0.057,Medium,94.5
21.43,5.0,8.5,0.077,Medium,94.5
21.36,5.6,9.7,0.082,Medium,94.5
21.28,5.1,9.1,0.061,Medium,94.5
21.12,5.8,11.3,0.004,Low,94.5
21.05,5.1,8.4,0.045,Low,94.5
21.1,5.8,8.9,0.097,Medium,94.5
21.18,5.0,7.8,0.068,Medium,94.5
21.19,5.1,6.1,0.083,Medium,94.5
21.23,5.0,8.7,0.024,Low,94.5
21.43,5.6,7.2,0.042,Low,94.5
21.58,5.4,6.6,0.004,Low,94.5
21.76,5.9,10.8,0.038,Low,94.5
22.51,5.3,11.1,0.077,Medium,94.5
22.66,5.3,6.1,0.094,Medium,94.5
22.81,5.7,10.2,0.098,Medium,94.5
22.89,5.2,10.1,0.005,Low,94.5
22.97,5.7,8.9,0.058,Medium,94.5
23.2,6.0,10.9,0.013,Low,94.5
23.27,5.6,7.7,0.035,Low,94.5
23.96,5.9,7.4,0.097,Medium,94.5
24.11,5.5,8.7,0.071,Medium,115.50000000000001
24.62,5.5,10.0,0.095,Medium,115.50000000000001
24.67,5.2,10.0,0.073,Medium,115.50000000000001
24.76,5.2,10.4,0.011,Low,115.50000000000001
25.01,6.0,10.1,0.093,Medium,115.50000000000001
25.29,5.2,10.4,0.011,Low,115.50000000000001
25.31,5.5,11.4,0.038,Low,115.50000000000001
25.35,5.6,10.6,0.092,Medium,115.50000000000001
25.9,5.7,11.9,0.089,Medium,115.50000000000001
25.93,5.7,11.4,0.079,Medium,115.50000000000001
25.96,5.0,11.9,0.07,Medium,115.50000000000001
25.6,5.8,11.4,0.048,Low,115.50000000000001
25.51,5.5,8.4,0.059,Medium,115.50000000000001
25.4,6.0,9.5,0.01,Low,115.50000000000001
25.34,5.8,7.6,0.067,Medium,115.50000000000001
25.29,6.0,11.9,0.09,Medium,115.50000000000001
25.23,5.4,8.7,0.04,Low,115.50000000000001
25.22,5.8,7.3,0.084,Medium,115.50000000000001
24.94,5.8,10.5,0.017,Low,115.50000000000001
24.8,5.2,9.5,0.048,Low,115.50000000000001
24.79,6.0,6.6,0.075,Medium,115.50000000000001
24.58,5.5,10.4,0.007,Low,115.50000000000001
24.58,5.1,8.3,0.008,Low,115.50000000000001
24.53,5.3,8.0,0.028,Low,115.50000000000001
24.42,5.8,7.3,0.087,Medium,115.50000000000001
24.4,6.0,8.6,0.07,Medium,115.50000000000001
24.28,6.0,6.2,0.005,Low,115.50000000000001
24.21,5.4,9.0,0.063,Medium,115.50000000000001
24.15,5.5,10.8,0.084,Medium,115.50000000000001
24.13,5.2,10.9,0.034,Low,115.50000000000001
24.01,5.1,6.4,0.06,Medium,115.50000000000001
23.87,5.1,9.4,0.073,Medium,94.5
23.84,5.5,10.8,0.054,Medium,94.5
23.81,5.0,10.2,0.017,Low,94.5
23.67,5.3,9.0,0.028,Low,94.5
23.67,5.3,8.2,0.068,Medium,94.5
23.65,5.5,11.8,0.049,Low,94.5
23.54,5.6,10.6,0.078,Medium,94.5
23.39,5.6,6.3,0.06,Medium,94.5
22.66,5.3,8.3,0.064,Medium,94.5
22.94,5.7,9.2,0.018,Low,94.5
22.81,5.6,6.5,0.076,Medium,94.5
22.68,6.0,12.0,0.054,Medium,94.5
22.61,5.0,6.1,0.09,Medium,94.5
22.46,5.4,6.2,0.071,Medium,94.5
22.34,5.0,11.8,0.04,Low,94.5
21.97,5.3,8.9,0.002,Low,94.5
21.92,5.9,9.2,0.1,Medium,94.5
21.86,6.0,7.9,0.035,Low,94.5
21.77,5.2,7.6,0.002,Low,94.5
21.5,5.4,10.7,0.044,Low,94.5
21.42,5.8,6.2,0.036,Low,94.5
21.41,5.8,8.3,0.033,Low,94.5
21.24,5.2,6.4,0.09,Medium,94.5
21.18,5.9,10.8,0.072,Medium,94.5
21.09,5.1,10.7,0.035,Low,94.5
21.16,5.2,11.4,0.081,Medium,94.5
21.28,5.9,7.8,0.018,Low,94.5
21.28,5.9,7.6,0.046,Low,94.5
21.47,6.0,9.1,0.023,Low,94.5
21.86,6.0,6.4,0.088,Medium,94.5
22.42,5.0,11.0,0.028,Low,94.5
22.64,5.6,11.6,0.082,Medium,94.5
22.73,5.7,8.3,0.035,Low,94.5
22.76,6.0,8.5,0.066,Medium,94.5
23.29,5.5,11.5,0.022,Low,94.5
23.72,5.1,10.2,0.088,Medium,94.5
23.74,5.1,6.8,0.003,Low,94.5
24.2,5.3,11.5,0.033,Low,115.50000000000001
24.21,5.1,6.4,0.047,Low,115.50000000000001
24.51,5.5,9.8,0.088,Medium,115.50000000000001
24.54,5.6,7.7,0.076,Medium,115.50000000000001
24.86,6.0,6.5,0.074,Medium,115.50000000000001
24.98,5.2,9.4,0.088,Medium,115.50000000000001
25.16,5.6,6.2,0.067,Medium,115.50000000000001
25.16,6.0,9.9,0.032,Low,115.50000000000001
25.18,5.1,11.7,0.038,Low,115.50000000000001
25.31,5.5,8.7,0.028,Low,115.50000000000001
25.35,5.8,12.0,0.005,Low,115.50000000000001
25.37,6.0,8.3,0.098,Medium,115.50000000000001
25.56,5.8,7.0,0.083,Medium,115.50000000000001
26.0,5.0,11.6,0.094,Medium,115.50000000000001
25.9,6.0,11.1,0.063,Medium,115.50000000000001
25.64,5.8,8.1,0.036,Low,115.50000000000001
25.56,5.9,6.3,0.049,Low,115.50000000000001
25.36,5.3,8.8,0.01,Low,115.50000000000001
25.35,5.8,10.2,0.098,Medium,115.50000000000001
25.29,5.4,11.1,0.052,Medium,115.50000000000001
25.23,5.1,10.3,0.012,Low,115.50000000000001
25.09,5.7,10.8,0.084,Medium,115.50000000000001
24.9,5.3,7.4,0.057,Medium,115.50000000000001
24.71,5.6,6.2,0.081,Medium,115.50000000000001
24.67,5.3,7.6,0.032,Low,115.50000000000001
24.5,6.0,8.3,0.061,Medium,115.50000000000001
24.47,5.7,9.3,0.004,Low,115.50000000000001
24.43,5.6,7.0,0.087,Medium,115.50000000000001
24.33,5.2,8.5,0.073,Medium,115.50000000000001
24.26,5.3,7.5,0.01,Low,115.50000000000001
24.2,6.0,6.7,0.023,Low,115.50000000000001
23.81,5.2,9.8,0.098,Medium,94.5
23.8,5.3,8.5,0.071,Medium,94.5
23.78,5.3,6.9,0.091,Medium,94.5
23.74,5.6,10.0,0.029,Low,94.5
23.58,5.8,6.5,0.02,Low,94.5
23.43,6.0,6.3,0.007,Low,94.5
23.35,5.4,8.9,0.048,Low,94.5
23.19,5.6,8.4,0.1,Medium,94.5
23.19,5.9,7.1,0.095,Medium,94.5
23.16,5.2,9.0,0.073,Medium,94.5
23.1,5.1,8.1,0.071,Medium,94.5
